Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Locally Periodic, x:none, y:power",0.281453,0.04718885288826365,0.3329,0.14337622354060314,0.126582,0.05451748550278336,-7.69032,"1.33**2 * RBF(len_scale=[1e+05, 7.19e+04, 0.155, 22.6, 420]) + ExpSineSquared(len_scale=5.52, periodicity=1.69)"
"Locally Periodic, x:scaled, y:power",4.58653,0.7689838331478451,2.68458,1.1562203175107852,0.14106,0.0607530635708142,-40.232,"0.898**2 * RBF(len_scale=[107, 0.753, 5.22e+04, 4.21e+04, 0.0033]) + ExpSineSquared(len_scale=0.941, periodicity=0.0105)"
"Periodic, x:scaled, y:none",3.09604,1.3334284730947106,3.09604,1.3334284730947106,0.156497,0.06740144289575237,-50.5301,"1.18**2 + ExpSineSquared(len_scale=0.00549, periodicity=2.35e-07)"
"RBF, x:none, y:none",3.69809,1.5927267499747173,3.69809,1.5927267499747173,0.185742,0.07999712043980897,-52.8532,"1.26**2 + RBF(len_scale=[0.334, 0.0452, 0.0679, 0.148, 3.91e-07])"
"Periodic, x:none, y:none",3.69809,1.5927267499883189,3.69809,1.5927267499883189,0.185742,0.07999712046701138,-52.8532,"1.26**2 + ExpSineSquared(len_scale=6.04e-07, periodicity=0.0298)"
"Periodic + WhiteK, x:none, y:power",0.223326,0.037443103083282483,0.183684,0.07911050099835729,0.233899,0.10073754227129526,-8.20866,"5.08**2 * ExpSineSquared(len_scale=6.31, periodicity=6.78) + WhiteK(noise=0.0748)"
"Linear + RBF, x:none, y:logshift-scaled",0.457249,0.4572490049803891,0.499412,0.21509114977959407,0.392873,0.1692059344444672,-35.1928,"DotProduct(sigma_0=1.88e-07) + 0.595**2 * RBF(len_scale=[1.18e-05, 0.02, 3.12e-05, 0.00145, 0.00236])"
"Periodic + WhiteK, x:scaled, y:logshift",0.931627,0.23714609559193423,1.07392,0.4625250838018512,0.508958,0.21920260396937358,-28.1322,"0.759**2 * ExpSineSquared(len_scale=10, periodicity=10) + WhiteK(noise=0.51)"
"Locally Periodic, x:scaled, y:none",2.53877,1.093422613653126,2.53877,1.093422613653126,0.959351,0.41318211593145465,-47.4959,"1.45**2 * RBF(len_scale=[107, 1e+05, 5.22e+04, 4.21e+04, 0.0266]) + ExpSineSquared(len_scale=2.76, periodicity=0.0125)"
"Periodic, x:scaled, y:logshift-scaled",0.951896,0.9518962647691579,0.989223,0.42604752359941456,1.05237,0.45324481550016754,-45.344,"1.18**2 + ExpSineSquared(len_scale=0.00549, periodicity=2.35e-07)"
"Periodic + WhiteK, x:none, y:pow-scaled",0.907405,0.9074052532407387,0.91688,0.394890154123513,1.21337,0.5225848484853453,-41.2414,"0.956**2 * ExpSineSquared(len_scale=0.00158, periodicity=0.000286) + WhiteK(noise=1e-07)"
"Locally Periodic, x:scaled, y:logshift-scaled",0.948828,0.948827808736554,0.955222,0.41140361069468384,1.2468,0.5369816726209047,-42.6204,"1.01**2 * RBF(len_scale=[1.11e+03, 7.9, 8.16, 798, 0.000361]) + ExpSineSquared(len_scale=1.68e+03, periodicity=15.2)"
"Locally Periodic + WhiteK, x:none, y:logshift-scaled",0.96962,0.9696198862475662,0.982133,0.4229937509962368,1.28246,0.5523426084177961,-44.4881,"0.978**2 * RBF(len_scale=[9.99e+04, 9.99e+04, 28.3, 1e-05, 81.3]) * ExpSineSquared(len_scale=0.0744, periodicity=2.35e+04) + WhiteK(noise=0.056)"
"Periodic + WhiteK, x:scaled, y:logshift-scaled",0.996874,0.996873553551326,1.00192,0.431514049990984,1.34158,0.5778025613782563,-45.3929,"0.234**2 * ExpSineSquared(len_scale=0.0757, periodicity=10) + WhiteK(noise=0.983)"
"Periodic, x:none, y:logshift-scaled",1,1.0,1.00526,0.4329536817231636,1.39402,0.6003882731530392,-45.406,"1**2 + ExpSineSquared(len_scale=1.77e-06, periodicity=1.77e-06)"
"RBF, x:none, y:logshift-scaled",1,0.9999999999449934,1.00526,0.4329536816777631,1.39402,0.6003882732304642,-45.406,"1**2 + RBF(len_scale=[0.334, 0.0452, 0.0679, 0.148, 3.91e-07])"
"Periodic + WhiteK, x:none, y:logshift-scaled",0.999992,0.9999921336039211,1.00525,0.43295032973835146,1.39402,0.6003902064622471,-45.406,"0.00339**2 * ExpSineSquared(len_scale=0.334, periodicity=0.467) + WhiteK(noise=1)"
"Locally Periodic, x:scaled, y:scaled",0.92905,0.9290502348922257,0.92905,0.4001317726046027,1.40532,0.6052551815619626,-43.8736,"1.02**2 * RBF(len_scale=[107, 1.41, 5.22e+04, 4.21e+04, 0.00254]) + ExpSineSquared(len_scale=0.576, periodicity=0.03)"
"Locally Periodic, x:scaled, y:pow-scaled",0.936433,0.9364327575628016,0.932395,0.4015723852983074,1.40589,0.6055000484271191,-44.0901,"0.997**2 * RBF(len_scale=[107, 1e+05, 5.22e+04, 4.21e+04, 0.000681]) + ExpSineSquared(len_scale=0.512, periodicity=0.0361)"
"Matern 2.5, x:none, y:pow-scaled",0.928705,0.928704922295893,0.927042,0.3992668655676994,1.41067,0.6075615920418956,-42.9697,"1.01**2 + Matern(len_scale=[0.0628, 10, 4.81, 10, 3.91e-07], nu=2.5)"
